iteration,total_queries,loss,iter_time_s,total_time_s
1,202,0.004404,6.96,7.44
2,403,0.004263,6.95,14.48
3,604,0.005362,6.96,21.53
4,805,0.005351,6.97,28.50
5,1006,0.005876,6.96,35.46
6,1207,0.002630,6.95,42.41
7,1408,0.005654,6.97,49.47
8,1609,0.002640,6.98,56.46
9,1810,0.002367,6.95,63.41
10,2011,0.001715,6.96,70.46
11,2212,0.001416,6.95,77.50
12,2413,0.001441,6.97,84.56
13,2614,0.001435,6.96,91.52
14,2815,0.001356,6.94,98.46
15,3016,0.001841,6.97,105.52
16,3217,0.002476,6.93,112.45
17,3418,0.003180,7.00,119.45
18,3619,0.004162,6.95,126.40
19,3820,0.005191,6.99,133.39
20,4021,0.005503,6.98,140.38
21,4222,0.004925,6.93,147.31
22,4423,0.004329,6.97,154.28
23,4624,0.003981,6.96,161.25
24,4825,0.003674,6.97,168.21
25,5026,0.003268,6.97,175.19
26,5227,0.003755,6.94,182.13
27,5428,0.003871,6.96,189.10
28,5629,0.003895,6.96,196.06
29,5830,0.004010,6.97,203.04
30,6031,0.003802,6.96,210.00
31,6232,0.003670,7.00,217.00
32,6433,0.003149,6.95,223.96
33,6634,0.003394,6.95,230.91
34,6835,0.002863,6.95,237.86
35,7036,0.003153,6.98,244.84
36,7237,0.002533,6.98,251.82
37,7438,0.001997,6.96,258.78
38,7639,0.001781,6.96,265.74
39,7840,0.001357,6.98,272.72
40,8041,0.001241,6.94,279.67
41,8242,0.000928,6.96,286.72
42,8443,0.000730,6.98,293.79
43,8644,0.000665,6.98,300.85
44,8845,0.000493,6.94,307.88
45,9046,0.000558,7.01,314.98
46,9247,0.000491,7.00,321.98
47,9448,0.000558,7.02,329.09
48,9649,0.000515,7.01,336.10
49,9850,0.000494,6.98,343.08
50,10051,0.000463,7.01,350.09
51,10252,0.000423,6.97,357.15
52,10453,0.000406,6.94,364.18
53,10654,0.000360,6.97,371.24
54,10855,0.000413,6.97,378.30
55,11056,0.000306,6.95,385.26
56,11257,0.000330,7.02,392.36
57,11458,0.000289,6.99,399.35
58,11659,0.000328,6.99,406.43
59,11860,0.000302,6.94,413.36
60,12061,0.000294,6.98,420.35
61,12262,0.000315,6.97,427.32
62,12463,0.000301,6.95,434.27
63,12664,0.000334,6.99,441.27
64,12865,0.000321,6.97,448.24
65,13066,0.000281,6.97,455.21
66,13267,0.000256,6.97,462.27
67,13468,0.000244,6.99,469.35
68,13669,0.000225,6.98,476.42
69,13870,0.000232,6.97,483.48
70,14071,0.000249,7.02,490.50
71,14272,0.000200,7.00,497.51
72,14473,0.000183,6.99,504.58
73,14674,0.000179,6.96,511.63
74,14875,0.000148,7.01,518.73
75,15076,0.000133,6.99,525.80
76,15277,0.000128,7.00,532.89
77,15478,0.000122,6.99,539.97
78,15679,0.000112,6.97,547.04
79,15880,0.000109,6.96,554.08
80,16081,0.000108,6.94,561.11
81,16282,0.000090,7.01,568.22
